Terminology,Definition,Pod
AC reviewer,AI based code reviewer to validate and flag errors in AC Code,Labs
AI Assistant,Automates workflow steps using AI.,Labs
AI-powered element detection,Element Detection enhancements and incorporation of AI,WFE
Analytics,"the Product Analytics module within Whatfix, covering dashboards, trends, funnels, user journeys, etc., that provides usage insights and performance tracking via charts and KPIs.",Analytics
Ask Whatfix AI,natural-language interface to query analytics in plain English.,Insights
Auto Testing,"A premium scheduler that spins up Chrome, runs every Flow on the target app after each release, flags step failures and emails a report so broken guidance is fixed before users see it.",CMM
Auto Translations,"allows content authors to automatically translate Whatfix content (Flows, Smart Tips, Articles, Surveys) using the Whatfix UI. The translation happens only for text, not media, using Microsoft Machine Translation Services.",CMM
Autocapture,"Refers to automatic capturing of in-app interactions like clicks and navigation, feeding into analytics.",Capture
Automation,Automating widget behaviour without user intervention.,Guidance
Beacons,"Animated visual cues (radial, ripple, speckle, etc.) that grab attention and announce changes or new features inside the application.",Guidance
Blockers,"A feature that prevents users from progressing or submitting data until required steps are completed correctly, ensuring compliance and eliminating downstream errors.",Guidance
Branching,"Lets a single Flow split into alternative paths based on user choices or conditions, guiding each user down the steps that match their scenario.",Guidance
Canary,Canary Deployment/ Rollback strategy for UI modules.,UI Platform
CLM,"The dedicated CLM Dashboard tracks every asset across Draft, Ready and Production stages, P2P, Stage movement, archiving content and folders.",CMM
Cohorts,Dynamic or static groups of users used to compare behaviour across features and time.,Insights
Content Aggregation,"A Whatfix web-crawler that connects external repositories (SharePoint, Confluence, etc.), indexes them and makes deep search results instantly available inside Hub widgets.",Hub
Content Repository,"A mechanism for integrating external knowledge bases (like Confluence, SharePoint) via Whatfix Content Aggregation, creating repository links on the Dashboard that end users can access as contextual search results.",Hub
DAP on OS,"Hub (the “DAP on OS” widget) pins to a user’s desktop and collapses into three end-user workspaces: Explorer (searchable content library), Tasks (personal to-do list), and Feedback (two-way communication to authors). It centralizes cross-app guidance in one floating launcher.",Hub
Desktop,"A lightweight layer that sits on top of native desktop applications (SAP GUI, Microsoft Teams, Java apps, etc.) and injects the same in-app help you see on the web, Flows, Pop-ups, Beacons, Task Lists, and more.",Desktop
Diagnostics,Real-time panel that inspects steps/widgets and shows actionable fixes.,WFE
Element Detection/CSS,Issues with element detection or CSS/XPath selectors in Workflow Engine.,WFE
Enterprise Insights,enabling organization-level insight dashboards and metrics.,Insights
Enterprise Search,Search across the knowledge bases.,Labs
Event groups,grouping of related user events into logical categories for segmentation or funneling within Analytics.,Insights
Flows,"A step-by-step, on-screen walkthrough that overlays your web app to teach users how to complete a task or achieve an objective.",Guidance
Funnels,Multi‑step visualisation measuring conversion/drop‑off across a defined process.,Insights
Integration Hub,"Whatfix’s integration platform that connects to external systems (e.g. Confluence, Workday, Amplitude) to import/export data or automate content delivery workflows.",Platform Services
Intent Recognition,NLP that infers goals and recommends or automates ideal next actions.,Labs
Latching,"Engine logic that pins Launchers (and similar widgets) to the exact element, accounting for resolution changes and selector uniqueness, so UI cues stay anchored.",WFE
Launchers,"A persistent, customizable button that lets users open any Whatfix asset, Flow, Pop-up, video or link, whenever they need it, with a single click.",Guidance
